description,image,title
"A l’approche de la Journée mondiale de lutte contre le sida, mercredi 1er décembre, les associations s’alarment de la chute du nombre de tests de dépistage du VIH et craignent un rebond épidémique à court et moyen termes.",https://img.lemde.fr/2021/06/03/0/0/2868/1912/110/74/60/0/509e75f_923643679-000-hkg393499.jpg,Comment le Covid-19 a « ruiné les progrès » récents en matière de dépistage et de prévention du sida
"Alors que la Haute Autorité de santé recommande la prudence, nombreux sont les parents à s’interroger sur le bénéfice individuel et collectif à en tirer.",https://img.lemde.fr/2021/11/30/0/0/3499/2333/110/74/60/0/2132552_712358278-859275.jpg,"Pour les parents, le dilemme de la vaccination des enfants de moins de 12 ans contre le Covid-19"
"L’instance recommande d’« élargir dès à présent » l’administration du vaccin Pfizer aux enfants « à risque de forme grave », mais renvoie la généralisation en France à plus tard.",https://img.lemde.fr/2021/11/30/1/0/7277/4851/110/74/60/0/d9a4cc1_286562386-667732.jpg,Covid-19 : la Haute Autorité de santé recommande de ne vacciner que les enfants à risque
"Un collectif de soixante-neuf professionnels de santé, chercheurs et personnalités de l’éducation populaire et de la culture proteste, dans une tribune au « Monde », contre le risque d’enterrement de la réforme de la Sécurité sociale sous la pression des assureurs et des mutuelles.",https://img.lemde.fr/2021/11/26/3/0/5900/3933/110/74/60/0/5b1221f_535926494-jmug211125006.jpg,« Les défenseurs de la “grande Sécu” n’ont pas dit leur dernier mot »
"Une étude suédoise a montré que l’exercice physique réduit l’anxiété. Un constat partagé, qui devrait conduire à prescrire plus largement l’activité physique.",https://img.lemde.fr/2021/11/29/0/0/5464/3643/110/74/60/0/2133543_888610936-000-1oo79a.jpg,L’activité physique a un effet anxiolytique
"Le nombre de cas découverts de séropositivité a baissé de 14 % par rapport à l’année précédente, en raison de la « diminution du recours au dépistage, notamment lors du premier confinement », explique Santé publique France.",https://img.lemde.fr/2018/08/15/64/73/1965/1310/110/74/60/0/0107052_dv41azo2l5WOObaBifT96chU.jpg,La pandémie de Covid-19 a réduit le nombre de dépistages et de nouveaux diagnostics de séropositivité du VIH en France en 2020
"Entre 2019 et 2020, 254 lits ont été supprimés et trois maternités ont fermé. En 2000, on dénombrait plus de 20 000 lits dans 742 maternités.",https://img.lemde.fr/2019/12/12/0/0/3540/2360/110/74/60/0/3575390_dxj_XCM69PzEc_ajMHlAsD7l.jpg,Les maternités françaises comptaient moins de 15 000 lits fin 2020
"Le projet de budget pour 2022 comporte des mesures pour le grand âge, les soignants ou encore sur le remboursement de la contraception. Il prévoit, par ailleurs, un déficit de 20,4 milliards d’euros, après 33,5 milliards en 2021.",https://img.lemde.fr/2021/11/23/0/0/3499/2333/110/74/60/0/e30900c_fw1-health-coronavirus-france-cases-1123-11.jpg,Le Parlement adopte définitivement le projet de budget de la Sécurité sociale pour 2022
"La sage-femme orthogéniste Claire Wolker défend l’allongement du délai de l’IVG de douze à quatorze semaines, alors qu’une proposition de loi en ce sens arrive en discussion à l’Assemblée lundi.",https://img.lemde.fr/2021/11/29/1044/0/1848/1231/110/74/60/0/ccf81ee_389423130-000-par2737119.jpg,« Il y a déjà des praticiens qui ne font pas les IVG jusqu’au terme actuellement prévu par la loi »
"Etats anxieux et dépressifs, recours aux antidépresseurs, hospitalisations pour tentative de suicide… Différents indicateurs restent au rouge depuis le début de la pandémie.",https://img.lemde.fr/2019/09/12/0/268/4753/3169/110/74/60/0/639cae6_tpEnHcMJxPZjMTnS0Mnlos5C.jpg,Quelles sont les données qui montrent la dégradation de la santé psychique des Français ?
"L’Organisation mondiale de la santé estime que le variant du SARS-CoV-2 présente un nombre de mutations « sans précédent », dont plusieurs « sont préoccupantes en raison de leur impact potentiel sur la trajectoire de l’épidémie » de Covid-19.",https://img.lemde.fr/2021/11/29/0/0/3500/2333/110/74/60/0/9c508bb_ggg-aus101-health-coronavirus-australia-1129-11.jpg,"Omicron : le nouveau variant détecté dans de plus en plus de pays, l’OMS s’inquiète d’un « risque très élevé » à l’échelle planétaire"
"Le président du Syndicat des audioprothésistes, Luis Godinho, rappelle, dans une tribune au « Monde », que le système actuel d’articulation entre assurance-maladie et assurances-santé cache de forts écarts entre catégories d’usagers, et estime que le statu quo n’est pas tenable.",https://img.lemde.fr/2021/11/26/0/0/5760/3840/110/74/60/0/f84bae0_99728504-pns-6307555.jpg,"« Grande Sécu » : « Les primes des complémentaires sont doublement inégalitaires, aux dépens des plus pauvres et des plus âgés »"
"L’Assemblée nationale examine en deuxième lecture, à partir de lundi, une proposition de loi en faveur de l’allongement du délai de douze à quatorze semaines, soutenue par les élus de la majorité contre l’avis de l’exécutif.",https://img.lemde.fr/2021/11/29/0/0/5760/3840/110/74/60/0/56a13ec_842210065-10437552183-9525d47230-o.jpg,Allongement du délai d’IVG : les députés de la majorité imposent le débat
"Le Covid a accéléré une crise des hôpitaux dénoncée depuis longtemps par les personnels, explique, dans une tribune au « Monde », le médecin anesthésiste-réanimateur Philippe Bizouarn, qui déplore l’absence de réaction de la part du gouvernement et son « cynisme ».",https://img.lemde.fr/2020/11/13/0/0/6720/4480/110/74/60/0/561d215_b8864f18eb004ddd91cc6197e054c9be-b8864f18eb004ddd91cc6197e054c9be-0.jpg,« Nos dirigeants sont restés sourds au cri d’alarme des soignants sur la dégradation de l’hôpital public »
"Seuls 150 spécialistes de cette discipline, qui requiert un savoir-faire médical et technique particulier, sont aujourd’hui recensés sur l’ensemble du territoire, alors que la population des 0-19 ans représente 25 % de la population française, alertent dans une tribune au « Monde » vingt-quatre radiopédiatres et représentants de la profession.",https://img.lemde.fr/2021/11/26/0/0/5760/3840/110/74/60/0/e959d1e_679562769-hygtyfr.jpg,"Santé : « Exsangue, la radiopédiatrie menace aujourd’hui de disparaître »"
"Sous-vêtements chauffants, injections de testostérone… plusieurs contraceptions masculines existent, mais elles sont méconnues et peu répandues.",https://img.lemde.fr/2021/11/23/1/0/5000/3333/110/74/60/0/187836d_709044553-girette-hl-13006.JPG,Contraception masculine : « Il n’y a aucune raison pour que cette charge repose uniquement sur ma copine »
