title,image,description
"Dans les universités, des élections plus que jamais désertées par les étudiants",https://img.lemde.fr/2021/11/29/90/0/7542/5028/110/74/60/0/5492aea_606694772-elections-clr-01.jpeg,"Alors que les taux d’abstention aux élections universitaires battent des records, les étudiants pourront pour la première voter en ligne, du 6 au 10 décembre, pour désigner leurs représentants dans les Crous."
"La FAGE, école du terrain pour les futurs responsables politiques",https://img.lemde.fr/2021/04/27/0/0/5568/3712/110/74/60/0/e64d4ed_981380121-000-13f924.jpg,"Le syndicat étudiant, qui se dit apartisan, a « formé » de nombreux jeunes qui ont ensuite intégré des cabinets ou se sont présentés devant les électeurs."
"« Le bac en mars, une mesure qui pénalise les apprentissages de nombreux lycéens »",https://img.lemde.fr/2021/06/17/0/6/6036/4024/110/74/60/0/f9c571a_5016990-01-06.jpg,"La réforme du bac est un désastre, estime Jean-Yves Mas, professeur en sciences économiques et sociales en lycée, dans une tribune au « Monde ». Elle pénalise les plus faibles, rend le suivi des élèves plus difficile et ampute d’un tiers leur formation."
"En entreprise, la gestion « à la papa » ne fait plus rêver les jeunes",https://img.lemde.fr/2021/11/25/219/0/879/586/110/74/60/0/8be3382_48844437-049-f0240628.jpg,"« Entreprise libérée », holacratie, management « agile »... Des entreprises ayant adopté un modèle de management plus souple et plus responsabilisant misent dessus pour attirer des jeunes."
Sciences Po Grenoble : relaxe pour les étudiants passés en conseil de discipline,https://img.lemde.fr/2021/11/26/0/6/5488/3659/110/74/60/0/2108cf5_137269095-000-94j8v8.jpg,La décision va à l’encontre du souhait de la ministre de l’enseignement supérieur de voir sanctionnés les dix-sept étudiants poursuivis pour avoir participé à la diffusion des accusations d’islamophobie visant deux professeurs au début de 2021.
"Entre coup de bol et mauvaise fortune, les tribulations d’un ingénieur français aux Etats-Unis",https://img.lemde.fr/2021/11/19/221/0/837/558/110/74/60/0/810000e_247861690-img-0802.jpeg,"Arthur Papailhau, 27 ans, ingénieur diplômé de l’INSA, est arrivé à San Francisco quelques mois avant la pandémie. Il raconte ses deux années mouvementées, professionnellement et personnellement."
"Universités : Staps, une filière au bord de la rupture",https://img.lemde.fr/2021/11/25/0/0/4630/3086/110/74/60/0/4cb8315_720863925-maxnewsworldfive568123.jpg,Les sciences et techniques des activités physiques et sportives ont vu doubler leurs effectifs étudiants en dix ans et souffrent d’un taux d’encadrement jusqu’à trois fois moindre qu’ailleurs à l’université.
"A 30 ou 40 ans, reprendre des études pour « élargir le champ des possibles »",https://img.lemde.fr/2021/11/22/295/0/1772/1181/110/74/60/0/94ed987_71084504-le-monde-campus-codes-mba-1-exe.jpg,"S’ouvrir des horizons, renforcer sa confiance en soi, envisager une reconversion dans un autre secteur… Les raisons qui poussent les cadres à s’inscrire dans un master en management dépassent le champ strictement professionnel."
"Biologie, data science, géologie… Sciences Po Paris élargit sa palette",https://img.lemde.fr/2021/11/19/0/8/4272/2848/110/74/60/0/3bba207_47548935-sciencespo-credit-thomas-arrive-0275.jpeg,"De nouvelles doubles licences proposées par l’institut d’études politiques associent sciences et sciences sociales. Elles visent à préparer les étudiants aux défis du siècle, de la transition écologique à la protection des données personnelles."
Sciences Po : retour au concours commun pour sept IEP,https://img.lemde.fr/2021/11/23/0/6/5653/3769/110/74/60/0/8f15a07_157159975-000-92k8th.jpg,"La suppression des épreuves écrites en 2020 et 2021, en raison de la crise sanitaire, avait entraîné un afflux de candidatures et permis des profils d’admis plus divers."
